time,equity
2022-03-02 10:00:00,7801.270000000019
2022-03-02 10:03:00,7801.270000000019
2022-03-02 10:06:00,7792.1900000000205
2022-03-02 10:09:00,7792.1900000000205
2022-03-02 10:12:00,7792.1900000000205
2022-03-02 10:15:00,7792.1900000000205
2022-03-02 10:18:00,7792.1900000000205
2022-03-02 10:21:00,7792.1900000000205
2022-03-02 10:24:00,7792.1900000000205
2022-03-02 10:27:00,7792.1900000000205
2022-03-02 10:30:00,7792.1900000000205
2022-03-02 10:33:00,7792.1900000000205
2022-03-02 10:36:00,7760.4800000000205
2022-03-02 10:39:00,7760.4800000000205
2022-03-02 10:42:00,7760.4800000000205
2022-03-02 10:45:00,7760.4800000000205
2022-03-02 10:48:00,7760.4800000000205
2022-03-02 10:51:00,7760.4800000000205
2022-03-02 10:54:00,7760.4800000000205
2022-03-02 10:57:00,7760.4800000000205
2022-03-02 11:00:00,7760.4800000000205
2022-03-02 11:03:00,7760.4800000000205
2022-03-02 11:06:00,7760.4800000000205
2022-03-02 11:09:00,7760.4800000000205
2022-03-02 11:12:00,7760.4800000000205
2022-03-02 11:15:00,7760.4800000000205
2022-03-02 11:18:00,7760.4800000000205
2022-03-02 11:21:00,7760.4800000000205
2022-03-02 11:24:00,7760.4800000000205
2022-03-02 11:27:00,7760.4800000000205
2022-03-02 11:30:00,7760.4800000000205
2022-03-02 11:33:00,7760.4800000000205
2022-03-02 11:36:00,7760.4800000000205
2022-03-02 11:39:00,7760.4800000000205
2022-03-02 11:42:00,7760.4800000000205
2022-03-02 11:45:00,7760.4800000000205
2022-03-02 11:48:00,7760.4800000000205
2022-03-02 11:51:00,7760.4800000000205
2022-03-02 11:54:00,7760.4800000000205
2022-03-02 11:57:00,7760.4800000000205
2022-03-02 12:00:00,7760.4800000000205
2022-03-02 12:03:00,7760.4800000000205
2022-03-02 12:06:00,7760.4800000000205
2022-03-02 12:09:00,7760.4800000000205
2022-03-02 12:12:00,7760.4800000000205
2022-03-02 12:15:00,7760.4800000000205
2022-03-02 12:18:00,7760.4800000000205
2022-03-02 12:21:00,7760.4800000000205
2022-03-02 12:24:00,7760.4800000000205
2022-03-02 12:27:00,7760.4800000000205
2022-03-02 12:30:00,7816.1500000000215
2022-03-02 12:33:00,7816.1500000000215
2022-03-02 12:36:00,7816.1500000000215
2022-03-02 12:39:00,7816.1500000000215
2022-03-02 12:42:00,7816.1500000000215
2022-03-02 12:45:00,7792.070000000023
2022-03-02 12:48:00,7792.070000000023
2022-03-02 12:51:00,7792.070000000023
2022-03-02 12:54:00,7792.070000000023
2022-03-02 12:57:00,7792.070000000023
2022-03-02 13:00:00,7792.070000000023
2022-03-02 13:03:00,7792.070000000023
2022-03-02 13:06:00,7792.070000000023
2022-03-02 13:09:00,7792.070000000023
2022-03-02 13:12:00,7792.070000000023
2022-03-02 13:15:00,7770.220000000025
2022-03-02 13:18:00,7770.220000000025
2022-03-02 13:21:00,7770.220000000025
2022-03-02 13:24:00,7747.620000000025
2022-03-02 13:27:00,7747.620000000025
2022-03-02 13:30:00,7712.370000000024
2022-03-02 13:33:00,7712.370000000024
2022-03-02 13:36:00,7712.370000000024
2022-03-02 13:39:00,7712.370000000024
2022-03-02 13:42:00,7712.370000000024
2022-03-02 13:45:00,7712.370000000024
2022-03-02 13:48:00,7712.370000000024
2022-03-02 13:51:00,7712.370000000024
2022-03-02 13:54:00,7712.370000000024
2022-03-02 13:57:00,7712.370000000024
2022-03-02 14:00:00,7712.370000000024
2022-03-02 14:03:00,7712.370000000024
2022-03-02 14:06:00,7712.370000000024
2022-03-02 14:09:00,7712.370000000024
2022-03-02 14:12:00,7712.370000000024
2022-03-02 14:15:00,7712.370000000024
2022-03-02 14:18:00,7712.370000000024
2022-03-02 14:21:00,7712.370000000024
2022-03-02 14:24:00,7712.370000000024
2022-03-02 14:27:00,7712.370000000024
2022-03-02 14:30:00,7712.370000000024
2022-03-02 14:33:00,7712.370000000024
2022-03-02 14:36:00,7712.370000000024
2022-03-02 14:39:00,7712.370000000024
2022-03-02 14:42:00,7712.370000000024
2022-03-02 14:45:00,7712.370000000024
2022-03-02 14:48:00,7712.370000000024
2022-03-02 14:51:00,7712.370000000024
2022-03-02 14:54:00,7712.370000000024
2022-03-02 14:57:00,7712.370000000024
2022-03-02 15:00:00,7712.370000000024
2022-03-02 15:03:00,7712.370000000024
2022-03-02 15:06:00,7712.370000000024
2022-03-02 15:09:00,7712.370000000024
2022-03-02 15:12:00,7712.370000000024
2022-03-02 15:15:00,7712.370000000024
2022-03-02 15:18:00,7712.370000000024
2022-03-02 15:21:00,7712.370000000024
2022-03-02 15:24:00,7712.370000000024
2022-03-02 15:27:00,7712.370000000024
2022-03-02 15:30:00,7712.370000000024
2022-03-02 15:33:00,7712.370000000024
2022-03-02 15:36:00,7712.370000000024
2022-03-02 15:39:00,7712.370000000024
2022-03-02 15:42:00,7712.370000000024
2022-03-02 15:45:00,7780.620000000023
2022-03-02 15:48:00,7780.620000000023
2022-03-02 15:51:00,7780.620000000023
2022-03-02 15:54:00,7780.620000000023
2022-03-02 15:57:00,7780.620000000023
2022-03-02 16:00:00,7780.620000000023
2022-03-02 16:03:00,7780.620000000023
2022-03-02 16:06:00,7780.620000000023
2022-03-02 16:09:00,7780.620000000023
2022-03-02 16:12:00,7780.620000000023
2022-03-02 16:15:00,7780.620000000023
2022-03-02 16:18:00,7780.620000000023
2022-03-02 16:21:00,7780.620000000023
2022-03-02 16:24:00,7780.620000000023
2022-03-02 16:27:00,7780.620000000023
2022-03-02 16:30:00,7780.620000000023
2022-03-02 16:33:00,7780.620000000023
2022-03-02 16:36:00,7778.42000000002
2022-03-02 16:39:00,7778.42000000002
2022-03-02 16:42:00,7778.42000000002
2022-03-02 16:45:00,7778.42000000002
2022-03-02 16:48:00,7778.42000000002
2022-03-02 16:51:00,7778.42000000002
2022-03-02 16:54:00,7778.42000000002
2022-03-02 16:57:00,7778.42000000002
2022-03-02 18:00:00,7778.42000000002
2022-03-02 18:03:00,7778.42000000002
2022-03-02 18:06:00,7778.42000000002
2022-03-02 18:09:00,7778.42000000002
2022-03-02 18:12:00,7778.42000000002
2022-03-02 18:15:00,7778.42000000002
2022-03-02 18:18:00,7778.42000000002
2022-03-02 18:21:00,7778.42000000002
2022-03-02 18:24:00,7778.42000000002
2022-03-02 18:27:00,7778.42000000002
2022-03-02 18:30:00,7778.42000000002
2022-03-02 18:33:00,7778.42000000002
2022-03-02 18:36:00,7778.42000000002
2022-03-02 18:39:00,7778.42000000002
2022-03-02 18:42:00,7778.42000000002
2022-03-02 18:45:00,7778.42000000002
2022-03-02 18:48:00,7778.42000000002
2022-03-02 18:51:00,7778.42000000002
2022-03-02 18:54:00,7778.42000000002
2022-03-02 18:57:00,7778.42000000002
2022-03-02 19:00:00,7778.42000000002
2022-03-02 19:03:00,7780.620000000019
2022-03-02 19:06:00,7780.620000000019
2022-03-02 19:09:00,7780.620000000019
2022-03-02 19:12:00,7762.7200000000175
2022-03-02 19:15:00,7762.7200000000175
2022-03-02 19:18:00,7762.7200000000175
2022-03-02 19:21:00,7762.7200000000175
2022-03-02 19:24:00,7762.7200000000175
2022-03-02 19:27:00,7762.7200000000175
2022-03-02 19:30:00,7762.7200000000175
2022-03-02 19:33:00,7762.7200000000175
2022-03-02 19:36:00,7762.7200000000175
2022-03-02 19:39:00,7762.7200000000175
2022-03-02 19:42:00,7762.7200000000175
2022-03-02 19:45:00,7762.7200000000175
2022-03-02 19:48:00,7762.7200000000175
2022-03-02 19:51:00,7762.7200000000175
2022-03-02 19:54:00,7762.7200000000175
2022-03-02 19:57:00,7745.520000000015
2022-03-02 20:00:00,7745.520000000015
2022-03-02 20:03:00,7745.520000000015
2022-03-02 20:06:00,7745.520000000015
2022-03-02 20:09:00,7745.520000000015
2022-03-02 20:12:00,7745.520000000015
2022-03-02 20:15:00,7745.520000000015
2022-03-02 20:18:00,7745.520000000015
2022-03-02 20:21:00,7745.520000000015
2022-03-02 20:24:00,7745.520000000015
2022-03-02 20:27:00,7745.520000000015
2022-03-02 20:30:00,7745.520000000015
2022-03-02 20:33:00,7745.520000000015
2022-03-02 20:36:00,7731.720000000014
2022-03-02 20:39:00,7731.720000000014
2022-03-02 20:42:00,7731.720000000014
2022-03-02 20:45:00,7731.720000000014
2022-03-02 20:48:00,7731.720000000014
2022-03-02 20:51:00,7731.720000000014
2022-03-02 20:54:00,7731.720000000014
2022-03-02 20:57:00,7731.720000000014
2022-03-02 21:00:00,7731.720000000014
2022-03-02 21:03:00,7731.720000000014
2022-03-02 21:06:00,7731.720000000014
2022-03-02 21:09:00,7731.720000000014
2022-03-02 21:12:00,7731.720000000014
2022-03-02 21:15:00,7731.720000000014
2022-03-02 21:18:00,7731.720000000014
2022-03-02 21:21:00,7731.720000000014
2022-03-02 21:24:00,7731.720000000014
2022-03-02 21:27:00,7731.720000000014
2022-03-02 21:30:00,7721.670000000013
2022-03-02 21:33:00,7707.470000000012
2022-03-02 21:36:00,7707.470000000012
2022-03-02 21:39:00,7695.020000000013
2022-03-02 21:42:00,7695.020000000013
2022-03-02 21:45:00,7695.020000000013
2022-03-02 21:48:00,7695.020000000013
2022-03-02 21:51:00,7695.020000000013
2022-03-02 21:54:00,7695.020000000013
2022-03-02 21:57:00,7695.020000000013
2022-03-02 22:00:00,7695.020000000013
2022-03-02 22:03:00,7695.020000000013
2022-03-02 22:06:00,7695.020000000013
2022-03-02 22:09:00,7695.020000000013
2022-03-02 22:12:00,7695.020000000013
2022-03-02 22:15:00,7685.720000000013
2022-03-02 22:18:00,7685.720000000013
2022-03-02 22:21:00,7685.720000000013
2022-03-02 22:24:00,7685.720000000013
2022-03-02 22:27:00,7685.720000000013
2022-03-02 22:30:00,7685.720000000013
2022-03-02 22:33:00,7685.720000000013
2022-03-02 22:36:00,7685.720000000013
2022-03-02 22:39:00,7685.720000000013
2022-03-02 22:42:00,7672.720000000012
2022-03-02 22:45:00,7672.720000000012
2022-03-02 22:48:00,7672.720000000012
2022-03-02 22:51:00,7672.720000000012
2022-03-02 22:54:00,7672.720000000012
2022-03-02 22:57:00,7672.720000000012
2022-03-02 23:00:00,7672.720000000012
2022-03-02 23:03:00,7672.720000000012
2022-03-02 23:06:00,7672.720000000012
2022-03-02 23:09:00,7672.720000000012
2022-03-02 23:12:00,7672.720000000012
2022-03-02 23:15:00,7672.720000000012
2022-03-02 23:18:00,7672.720000000012
2022-03-02 23:21:00,7672.720000000012
2022-03-02 23:24:00,7672.720000000012
2022-03-02 23:27:00,7672.720000000012
2022-03-02 23:30:00,7672.720000000012
2022-03-02 23:33:00,7672.720000000012
2022-03-02 23:36:00,7672.720000000012
2022-03-02 23:39:00,7672.720000000012
2022-03-02 23:42:00,7672.720000000012
2022-03-02 23:45:00,7672.720000000012
2022-03-02 23:48:00,7672.720000000012
2022-03-02 23:51:00,7672.720000000012
2022-03-02 23:54:00,7672.720000000012
2022-03-02 23:57:00,7672.720000000012
2022-03-03 00:00:00,7672.720000000012
2022-03-03 00:03:00,7672.720000000012
2022-03-03 00:06:00,7672.720000000012
2022-03-03 00:09:00,7672.720000000012
2022-03-03 00:12:00,7672.720000000012
2022-03-03 00:15:00,7672.720000000012
2022-03-03 00:18:00,7672.720000000012
2022-03-03 00:21:00,7672.720000000012
2022-03-03 00:24:00,7672.720000000012
2022-03-03 00:27:00,7672.720000000012
2022-03-03 00:30:00,7672.720000000012
2022-03-03 00:33:00,7672.720000000012
2022-03-03 00:36:00,7672.720000000012
2022-03-03 00:39:00,7699.120000000012
2022-03-03 00:42:00,7699.120000000012
2022-03-03 00:45:00,7699.120000000012
2022-03-03 00:48:00,7699.120000000012
2022-03-03 00:51:00,7699.120000000012
2022-03-03 00:54:00,7699.120000000012
2022-03-03 00:57:00,7699.120000000012
2022-03-03 01:00:00,7699.120000000012
2022-03-03 01:03:00,7699.120000000012
2022-03-03 01:06:00,7699.120000000012
2022-03-03 01:09:00,7699.120000000012
2022-03-03 01:12:00,7699.120000000012
2022-03-03 01:15:00,7699.120000000012
2022-03-03 01:18:00,7699.120000000012
2022-03-03 01:21:00,7699.120000000012
2022-03-03 01:24:00,7699.120000000012
2022-03-03 01:27:00,7699.120000000012
2022-03-03 01:30:00,7699.120000000012
2022-03-03 01:33:00,7699.120000000012
2022-03-03 01:36:00,7699.120000000012
2022-03-03 01:39:00,7699.120000000012
2022-03-03 01:42:00,7699.120000000012
2022-03-03 01:45:00,7699.120000000012
2022-03-03 01:48:00,7699.120000000012
2022-03-03 01:51:00,7699.120000000012
2022-03-03 01:54:00,7699.120000000012
2022-03-03 01:57:00,7699.120000000012
2022-03-03 02:00:00,7699.120000000012
2022-03-03 02:03:00,7699.120000000012
2022-03-03 02:06:00,7699.120000000012
2022-03-03 02:09:00,7699.120000000012
2022-03-03 02:12:00,7699.120000000012
2022-03-03 02:15:00,7699.120000000012
2022-03-03 02:18:00,7699.120000000012
2022-03-03 02:21:00,7692.120000000012
2022-03-03 02:24:00,7692.120000000012
2022-03-03 02:27:00,7692.120000000012
2022-03-03 02:30:00,7692.120000000012
2022-03-03 02:33:00,7692.120000000012
2022-03-03 02:36:00,7692.120000000012
2022-03-03 02:39:00,7655.020000000011
2022-03-03 02:42:00,7655.020000000011
2022-03-03 02:45:00,7655.020000000011
2022-03-03 02:48:00,7655.020000000011
2022-03-03 02:51:00,7655.020000000011
2022-03-03 02:54:00,7655.020000000011
2022-03-03 02:57:00,7655.020000000011
2022-03-03 03:00:00,7655.020000000011
2022-03-03 03:03:00,7655.020000000011
2022-03-03 03:06:00,7655.020000000011
2022-03-03 03:09:00,7655.020000000011
2022-03-03 03:12:00,7655.020000000011
2022-03-03 03:15:00,7655.020000000011
2022-03-03 03:18:00,7655.020000000011
2022-03-03 03:21:00,7655.020000000011
2022-03-03 03:24:00,7655.020000000011
2022-03-03 03:27:00,7655.020000000011
2022-03-03 03:30:00,7655.020000000011
2022-03-03 03:33:00,7655.020000000011
2022-03-03 03:36:00,7655.020000000011
2022-03-03 03:39:00,7655.020000000011
2022-03-03 03:42:00,7655.020000000011
2022-03-03 03:45:00,7655.020000000011
2022-03-03 03:48:00,7655.020000000011
2022-03-03 03:51:00,7655.020000000011
2022-03-03 03:54:00,7655.020000000011
2022-03-03 03:57:00,7655.020000000011
2022-03-03 04:00:00,7655.020000000011
2022-03-03 04:03:00,7666.89000000001
2022-03-03 04:06:00,7666.89000000001
2022-03-03 04:09:00,7666.89000000001
2022-03-03 04:12:00,7666.89000000001
2022-03-03 04:15:00,7666.89000000001
2022-03-03 04:18:00,7666.89000000001
2022-03-03 04:21:00,7666.89000000001
2022-03-03 04:24:00,7666.89000000001
2022-03-03 04:27:00,7666.89000000001
2022-03-03 04:30:00,7666.89000000001
2022-03-03 04:33:00,7666.89000000001
2022-03-03 04:36:00,7666.89000000001
2022-03-03 04:39:00,7666.89000000001
2022-03-03 04:42:00,7666.89000000001
2022-03-03 04:45:00,7666.89000000001
2022-03-03 04:48:00,7666.89000000001
2022-03-03 04:51:00,7666.89000000001
2022-03-03 04:54:00,7666.89000000001
2022-03-03 04:57:00,7666.89000000001
2022-03-03 05:00:00,7673.69000000001
2022-03-03 05:03:00,7673.69000000001
2022-03-03 05:06:00,7673.69000000001
2022-03-03 05:09:00,7673.69000000001
2022-03-03 05:12:00,7673.69000000001
2022-03-03 05:15:00,7673.69000000001
2022-03-03 05:18:00,7673.69000000001
2022-03-03 05:21:00,7673.69000000001
2022-03-03 05:24:00,7673.69000000001
2022-03-03 05:27:00,7673.69000000001
2022-03-03 05:30:00,7673.69000000001
2022-03-03 05:33:00,7673.69000000001
2022-03-03 05:36:00,7673.69000000001
2022-03-03 05:39:00,7673.69000000001
2022-03-03 05:42:00,7673.69000000001
2022-03-03 05:45:00,7673.69000000001
2022-03-03 05:48:00,7673.69000000001
2022-03-03 05:51:00,7673.69000000001
2022-03-03 05:54:00,7673.69000000001
2022-03-03 05:57:00,7673.69000000001
2022-03-03 06:00:00,7673.69000000001
2022-03-03 06:03:00,7673.69000000001
2022-03-03 06:06:00,7673.69000000001
2022-03-03 06:09:00,7673.69000000001
2022-03-03 06:12:00,7673.69000000001
2022-03-03 06:15:00,7673.69000000001
2022-03-03 06:18:00,7673.69000000001
2022-03-03 06:21:00,7673.69000000001
2022-03-03 06:24:00,7673.69000000001
2022-03-03 06:27:00,7673.69000000001
2022-03-03 06:30:00,7673.69000000001
2022-03-03 06:33:00,7673.69000000001
2022-03-03 06:36:00,7673.69000000001
2022-03-03 06:39:00,7673.69000000001
2022-03-03 06:42:00,7673.69000000001
2022-03-03 06:45:00,7673.69000000001
2022-03-03 06:48:00,7673.69000000001
2022-03-03 06:51:00,7673.69000000001
2022-03-03 06:54:00,7673.69000000001
2022-03-03 06:57:00,7673.69000000001
2022-03-03 07:00:00,7702.160000000007
2022-03-03 07:03:00,7702.160000000007
2022-03-03 07:06:00,7702.160000000007
2022-03-03 07:09:00,7702.160000000007
2022-03-03 07:12:00,7702.160000000007
2022-03-03 07:15:00,7702.160000000007
2022-03-03 07:18:00,7702.160000000007
2022-03-03 07:21:00,7702.160000000007
2022-03-03 07:24:00,7671.1700000000055
2022-03-03 07:27:00,7671.1700000000055
2022-03-03 07:30:00,7671.1700000000055
2022-03-03 07:33:00,7651.060000000007
2022-03-03 07:36:00,7651.060000000007
2022-03-03 07:39:00,7651.060000000007
2022-03-03 07:42:00,7651.060000000007
2022-03-03 07:45:00,7651.060000000007
2022-03-03 07:48:00,7651.060000000007
2022-03-03 07:51:00,7651.060000000007
2022-03-03 07:54:00,7651.060000000007
2022-03-03 07:57:00,7651.060000000007
2022-03-03 08:00:00,7651.060000000007
2022-03-03 08:03:00,7651.060000000007
2022-03-03 08:06:00,7651.060000000007
2022-03-03 08:09:00,7651.060000000007
2022-03-03 08:12:00,7651.060000000007
2022-03-03 08:15:00,7651.060000000007
2022-03-03 08:18:00,7651.060000000007
2022-03-03 08:21:00,7617.980000000007
2022-03-03 08:24:00,7617.980000000007
2022-03-03 08:27:00,7617.980000000007
2022-03-03 08:30:00,7617.980000000007
2022-03-03 08:33:00,7555.120000000006
2022-03-03 08:36:00,7555.120000000006
2022-03-03 08:39:00,7555.120000000006
2022-03-03 08:42:00,7555.120000000006
2022-03-03 08:45:00,7555.120000000006
2022-03-03 08:48:00,7555.120000000006
2022-03-03 08:51:00,7555.120000000006
2022-03-03 08:54:00,7555.120000000006
2022-03-03 08:57:00,7555.120000000006
2022-03-03 09:00:00,7555.120000000006
2022-03-03 09:03:00,7555.120000000006
2022-03-03 09:06:00,7555.120000000006
2022-03-03 09:09:00,7555.120000000006
2022-03-03 09:12:00,7555.120000000006
2022-03-03 09:15:00,7555.120000000006
2022-03-03 09:18:00,7555.120000000006
2022-03-03 09:21:00,7555.590000000007
2022-03-03 09:24:00,7555.590000000007
2022-03-03 09:27:00,7555.590000000007
2022-03-03 09:30:00,7529.020000000009
2022-03-03 09:33:00,7529.020000000009
2022-03-03 09:36:00,7529.020000000009
2022-03-03 09:39:00,7529.020000000009
2022-03-03 09:42:00,7529.020000000009
2022-03-03 09:45:00,7493.450000000009
2022-03-03 09:48:00,7493.450000000009
2022-03-03 09:51:00,7493.450000000009
2022-03-03 09:54:00,7493.450000000009
2022-03-03 09:57:00,7493.450000000009
2022-03-03 10:00:00,7451.780000000008
2022-03-03 10:03:00,7451.780000000008
2022-03-03 10:06:00,7451.780000000008
2022-03-03 10:09:00,7451.780000000008
2022-03-03 10:12:00,7418.430000000008
2022-03-03 10:15:00,7418.430000000008
2022-03-03 10:18:00,7418.430000000008
2022-03-03 10:21:00,7418.430000000008
2022-03-03 10:24:00,7418.430000000008
2022-03-03 10:27:00,7418.430000000008
2022-03-03 10:30:00,7378.28000000001
2022-03-03 10:33:00,7378.28000000001
2022-03-03 10:36:00,7378.28000000001
2022-03-03 10:39:00,7378.28000000001
2022-03-03 10:42:00,7378.28000000001
2022-03-03 10:45:00,7378.28000000001
2022-03-03 10:48:00,7378.28000000001
2022-03-03 10:51:00,7378.28000000001
2022-03-03 10:54:00,7378.28000000001
2022-03-03 10:57:00,7378.28000000001
2022-03-03 11:00:00,7378.28000000001
2022-03-03 11:03:00,7378.28000000001
2022-03-03 11:06:00,7378.28000000001
2022-03-03 11:09:00,7378.28000000001
2022-03-03 11:12:00,7378.28000000001
2022-03-03 11:15:00,7378.28000000001
2022-03-03 11:18:00,7378.28000000001
2022-03-03 11:21:00,7378.28000000001
2022-03-03 11:24:00,7378.28000000001
2022-03-03 11:27:00,7378.28000000001
2022-03-03 11:30:00,7378.28000000001
2022-03-03 11:33:00,7356.290000000012
2022-03-03 11:36:00,7356.290000000012
2022-03-03 11:39:00,7356.290000000012
2022-03-03 11:42:00,7356.290000000012
2022-03-03 11:45:00,7356.290000000012
2022-03-03 11:48:00,7356.290000000012
2022-03-03 11:51:00,7356.290000000012
2022-03-03 11:54:00,7356.290000000012
2022-03-03 11:57:00,7356.290000000012
2022-03-03 12:00:00,7356.290000000012
2022-03-03 12:03:00,7356.290000000012
2022-03-03 12:06:00,7356.290000000012
2022-03-03 12:09:00,7356.290000000012
2022-03-03 12:12:00,7356.290000000012
2022-03-03 12:15:00,7356.290000000012
2022-03-03 12:18:00,7356.290000000012
2022-03-03 12:21:00,7356.290000000012
2022-03-03 12:24:00,7356.290000000012
2022-03-03 12:27:00,7355.380000000014
2022-03-03 12:30:00,7355.380000000014
2022-03-03 12:33:00,7355.380000000014
2022-03-03 12:36:00,7355.380000000014
2022-03-03 12:39:00,7355.380000000014
2022-03-03 12:42:00,7329.880000000015
2022-03-03 12:45:00,7329.880000000015
2022-03-03 12:48:00,7329.880000000015
2022-03-03 12:51:00,7329.880000000015
2022-03-03 12:54:00,7329.880000000015
2022-03-03 12:57:00,7329.880000000015
2022-03-03 13:00:00,7329.880000000015
2022-03-03 13:03:00,7329.880000000015
2022-03-03 13:06:00,7329.880000000015
2022-03-03 13:09:00,7329.880000000015
2022-03-03 13:12:00,7329.880000000015
2022-03-03 13:15:00,7329.880000000015
2022-03-03 13:18:00,7329.880000000015
